Month,YrMonth,Mean Price,CI lower,CI upper
48,201507,8239627.85,8583593.21,7895662.49
49,201508,8219842.5,8455313.2,7984371.8
50,201509,8280805.52,8541016.35,8020594.69
51,201510,8285180.15,8476760.27,8093600.03
52,201511,8337262.95,8538930.85,8135595.06
53,201512,8368488.36,8545829.34,8191147.39
54,201601,8415210.13,8593793.18,8236627.09
55,201602,8451912.3,8615205.08,8288619.53
56,201603,8496189.86,8656691.77,8335687.96
57,201604,8537812.28,8691142.33,8384482.24
58,201605,8582886.57,8734740.33,8431032.8
59,201606,8626793.28,8775244.29,8478342.28
